date_template;date_desc;date_key;date_example;julia_regex
YYYYMMDD;ISO Big-endian integer 4 digit year;YYYYMMDD;20060102;(19|20)(\d\d\d\d\d\d)
YYYY-MM-DD HH:MI:SSAM;ODBC Canonical 12hr;YYYYhyMMhyDDspHHcolMMcolSSAM;2006-01-02 03:04:05AM;(\d\d\d\d)-(\d\d)-(\d\d)\s(\d\d)\:(\d\d)\:(\d\d)(.?M)
YYYY-MM-DD HH:MI:SS.MMM(24h);ODBC Canonical (with milliseconds);YYYYhyMMhyDDspHHcolMMcolSSdoMMM;2006-01-02 15:04:05.000;(\d\d\d\d)-(\d\d)-(\d\d)\s(\d\d):(\d\d):(\d\d).(\d+)
YYYY-MM-DD HH:MI:SS.MMM(12h);ODBC Canonical 12hr (with milliseconds);YYYYhyMMhyDDspHHcolMMcolSSdoMMMAM;2006-01-02 03:04:05.000PM;(\d\d\d\d)-(\d\d)-(\d\d)\s(\d\d):(\d\d):(\d\d).(\d+)(.?M)
YYYY-MM-DDTHH:MM:SS.MMM;ISO8601;YYYYhyMMhyDDTHHcolMMcolSSdoMMM;2006-01-02T15:04:05.000;(\d\d\d\d)-(\d\d)-(\d\d)T(\d\d):(\d\d):(\d\d).(\d+)
YYYY-MM-DDTHH:MM:SS.MMM;ISO8601 zulu;YYYYhyMMhyDDTHHcolMMcolSSZ;2006-01-02T15:04:05Z;(\d\d\d\d)-(\d\d)-(\d\d)T(\d\d):(\d\d):(\d\d)Z
DDHHMMZMONYY;Military Zulu;DDHHMMZMONYY;021504ZJAN06;(\d\d\d\d\d\d)Z(.{3})(\d\d)
YYYY-MM-DD;Big-endian hyphen 4 digit year;YYYYhyMMhyDD;2006-01-02;(\d\d\d\d)-(\d\d)-(\d\d)
YY-MM-DD;Big-endian hyphen 2 digit year;YYhyMMhyDD;06-01-02;(\d\d)-(\d\d)-(\d\d) 
YY-MM-D;Big-endian 1 digit day hyphen 2 digit year;YYhyMMhy1D;06-01-2;(\d\d)-(\d\d)-(\d\d) 
YYYY-MM-D;Big-endian 1 digit day hyphen 4 digit year;YYYYhyMMhyD;2006-01-2;(\d\d\d\d)-(\d\d)-(\d)
YY-M-DD;Big-endian 1 digit mth hyphen 2 digit year;YYhyMhyDD;06-1-02;(\d\d)-(\d)-(\d\d) 
YYYY-M-DD;Big-endian 1 digit mth hyphen 4 digit year;YYYYhyMhyDD;2006-1-02;(\d\d\d\d)-(\d)-(\d\d)
YY/MM;YY MM big-endian slashes 2 digit year;YYslMM;06/01;(\d\d)/(\d\d)
YYYY/MM;YY MM big-endian slashes 4 digit year;YYYYslMM;2006/01;(\d\d\d\d)/(\d\d)
YY-MM;Year MM hyphens 2 digit year;YYhyMM;06-01;(\d\d)-(\d\d)
YYYY-MM;Year MM hyphens 4 digit year;YYYYhyMM;2006-01;(\d\d\d\d)-(\d\d)
HH:MM:SS;HHMMSS Time;HHcolMMcolSS;03:04:05;(\d\d)\:(\d\d)\:(\d\d)
H:MM:SS;1 digit hr HHMMSS Time;HcolMMcolSS;3:04:05;(\d)\:(\d\d)\:(\d\d)
H:MM:SSAM;1 digit hr HHMMSS 12 hr Time;HcolMMcolSSAM;3:04:05AM;(\d)\:(\d\d)\:(\d\d)(.?M)
HH:MI:SS:MMM(24H);Time 24  hr ms; HHcolMMcolSSdoMMM;15:04:05:000;(\d\d)\:(\d\d)\:(\d\d).(\d+)
HH:MM:SS.MMMAM;Time 12 hr ms AM;HHcolMMcolSSdoMMMAM;03:04:05.000AM;(\d\d)\:(\d\d)\:(\d\d).(\d+)(.?M)
HH:MM:SSAM;Time 12 hr AM;HHcolMMdoSSAM;03:04:05AM;(\d\d)\:(\d\d)\:(\d\d)(.?M)
